country,adult_anemia_2016,adult_blood_pressure_2015,adult_sodium_2017,basic_sanitation_2017,basic_water_2017,fruit_veg_availability_2013,government_revenue_2020,limited_sanitation_2017,limited_water_2017,nurses_and_midwives_2016,open_defecation_2017,physicians_2016,safely_managed_sanitation_2017,safely_managed_water_2017,surface_water_2017,undernourishment_prev_2017,unimproved_sanitation_2017,unimproved_water_2017,workplaces_percent_change_from_baseline,parkinson_disease_deaths,dementia_deaths,cancers_deaths,economic_rating,macroeconomic_rating,cases_per_cap,day_number
S. Korea,23.7,10.98,5.2033333333333305,0.1,1.57,747.25,38.14,0.0,0.0,6.9,0.0,2.33,99.9,98.21,0.0,2.5,0.0,0.21,-6.48641304347826,3224.60475680609,29798.685258172998,89670.9500540197,3.166667,3.5,35.620942852130796,82
Japan,25.6,17.55,5.76666666666667,1.13,0.56,425.05,38.14,0.0,0.0,6.3100000000000005,0.0,3.175,98.76,98.45,0.0,2.5,0.11,0.99,-13.006793478260901,15161.514381631101,190560.882432493,408392.27317695104,3.166667,3.5,49.9312396338155,84
Italy,19.6666666666667,21.17,4.05,2.56,4.4,736.07,38.14,0.1,0.0,5.72,0.0,4.02,96.21,95.04,0.0,2.5,1.13,0.56,-32.8411502909962,7608.79456647303,72574.5265149707,182277.86299613398,3.166667,3.5,432.06413714141297,86
Germany,18.5666666666667,19.875,3.81,1.99,0.2,496.91,38.14,0.77,0.0,6.1866666666666665,0.0,3.63,97.23,99.8,0.0,2.5,0.0,0.0,-21.4657928388747,12619.472415548898,83603.200359954,250892.527601444,3.166667,3.5,283.413812976922,91
France,20.3333333333333,22.05,3.8133333333333295,10.28,2.15,579.88,38.14,1.35,0.0,6.653333333333333,0.0,3.24,88.37,97.85,0.0,2.5,0.0,0.0,-32.4423418972332,7622.824664042941,68727.6440363425,180571.72424521606,3.166667,3.5,380.052114239171,91
Singapore,25.3333333333333,14.59,6.47,0.0,0.0,552.1,38.14,0.0,0.0,7.12,0.0,2.28,100.0,100.0,0.0,2.5,0.0,0.0,-34.3152173913044,176.45386936758499,1537.2821495055896,5293.84617003235,3.166667,3.5,963.495743870444,91
Spain,19.1666666666667,19.105,3.89666666666667,3.28,1.48,524.32,38.14,0.08,0.0,9.105,0.0,2.4175,96.62,98.44,0.0,2.5,0.02,0.07,-33.0261387163561,5829.58664869225,50899.845554403,116022.107929291,3.166667,3.5,905.14512244377,93
Belgium,18.5666666666667,17.48,3.47333333333333,2.39,0.48,569.27,38.14,0.51,0.0,11.09,0.0,2.5549999999999997,97.1,99.52,0.0,2.5,0.0,0.0,-34.0155279503106,1227.13805392538,10332.1914190467,30925.6899339386,3.166667,3.5,710.912345414052,95
USA,14.233333333333302,12.925,5.11333333333333,10.0,0.27,598.59,38.14,0.0,0.0,9.754999999999999,0.0,2.6925,89.97,99.0,0.0,2.5,0.03,0.73,-23.730319686631304,28971.4346636807,254246.444535313,678637.5964214121,3.166667,3.5,1797.6913063928,95
UK,17.4333333333333,15.16,3.4766666666666697,1.36,0.01,614.79,38.14,0.72,0.0,8.42,0.0,2.83,97.75,99.99,0.0,2.5,0.17,0.0,-39.1884871379745,7242.80970511948,63341.5398495803,177825.608536832,3.166667,3.5,482.47802934282095,96
Switzerland,20.5,17.995,4.0,0.35,4.54,581.68,38.14,0.1,0.0,8.93875,0.0,4.25,99.54,95.46,0.0,2.5,0.01,0.0,-24.4888655462185,851.2006285321761,7461.485819366129,17906.096149403602,3.166667,3.5,464.692027557431,96
Netherlands,18.6,18.69,3.5566666666666698,0.24,0.05,718.79,38.14,2.29,0.0,9.4575,0.0,4.495,97.47,99.95,0.0,2.5,0.0,0.0,-26.839882943143802,1745.03670863551,14333.7051906744,50813.104577518214,3.166667,3.5,394.05000420635804,97
Norway,17.3,19.625,4.35666666666667,21.74,1.66,597.52,38.14,1.95,0.0,9.97625,0.0,4.74,76.32,98.34,0.0,2.5,0.0,0.0,-33.6706461314135,458.5247764728901,4400.32397608046,11435.5212370608,3.166667,3.5,192.605737860164,97
Sweden,17.466666666666697,19.26,4.61666666666667,5.92,0.06,600.95,38.14,0.7,0.0,10.495000000000001,0.0,4.985,93.38,99.94,0.0,2.5,0.01,0.0,-27.2695142504968,1204.0791316929801,9485.20170334924,23938.7617479394,3.166667,3.5,859.552992083478,97
Austria,19.6333333333333,20.985,3.94,3.23,1.09,706.4,38.14,0.0,0.0,11.01375,0.0,5.23,96.75,98.91,0.0,2.5,0.03,0.0,-27.5846934655978,984.9892288241119,7344.14363724332,21565.792357913,3.166667,3.5,285.171018299934,99
Malaysia,28.8,23.03,4.84333333333333,10.94,3.37,317.05,38.14,0.0,0.36,11.5325,0.0,5.121904761904762,88.63,93.33,0.0,2.5,0.43,2.95,-26.3347186700767,839.396996465598,5635.669929268629,26126.7633070906,3.166667,3.5,28.6327523099785,100
Denmark,18.4,20.615,3.33666666666667,4.76,3.27,621.54,38.14,0.4,0.0,12.05125,0.0,5.013809523809524,94.84,96.73,0.0,2.5,0.0,0.0,-28.079072087802402,536.157511961269,4364.49351669515,17033.1705129779,3.166667,3.5,284.36665007286,101
Australia,12.6333333333333,15.17,3.35,24.35,99.97,523.27,38.14,0.0,0.0,12.57,0.0,4.905714285714286,75.64,97.855,0.0,2.5,0.01,0.03,-14.3831219317147,2241.74368703842,16580.2801551921,48506.0318674532,3.166667,3.5,98.66812129461158,101
Bahrain,42.2333333333333,20.765,4.31333333333333,4.0,1.02,596.0550000000001,38.14,0.0,0.0,12.046,0.0,4.797619047619048,96.0,98.98,0.0,2.5,0.0,0.0,-18.4673913043478,15.7555234789923,103.583787256242,517.687544257157,3.166667,3.5,2928.83725582056,101
Canada,12.066666666666698,13.185,4.25333333333333,16.97,0.58,668.84,38.14,0.0,0.0,11.522,0.0,4.68952380952381,82.32,98.86,0.0,2.5,0.71,0.56,-29.7534902273634,3788.089620944,24523.5052654827,84932.7877241012,3.166667,3.5,333.320261846749,102
Qatar,29.533333333333307,21.015,4.63,3.97,3.39,605.23,38.14,0.0,0.0,10.998000000000001,0.0,4.581428571428572,96.03,96.18,0.0,2.5,0.0,0.43,-20.584239130434803,14.6362893663651,87.7137937533648,614.3018436476401,3.166667,3.5,4184.69231303456,102
Slovenia,24.8,30.37,4.72333333333333,16.07,1.48,541.62,38.14,0.89,0.0,10.474,0.0,4.473333333333334,83.04,98.05,0.0,2.5,0.0,0.46,-30.6549415515409,203.181617190811,1475.63502324255,5886.28880016321,3.166667,3.5,129.197847792814,103
Czechia,26.0,27.795,4.72333333333333,4.67,2.0,377.53,38.14,0.86,0.0,9.95,0.0,4.365238095238095,94.46,97.88,0.0,2.5,0.01,0.12,-18.7141304347826,933.215922959108,7420.655126417059,28639.8865684765,3.166667,3.5,210.491961947893,103
Israel,18.233333333333302,16.685,3.84666666666667,6.33,0.62,802.97,38.14,0.0,0.0,9.426,0.0,4.257142857142857,93.67,99.38,0.0,2.5,0.0,0.0,-26.8945652173913,559.211338746832,4524.8032131072105,12726.8910347008,3.166667,3.5,1164.19627315416,103
Greece,18.4333333333333,19.075,3.7933333333333294,8.59,0.0,947.71,38.14,1.02,0.0,8.902000000000001,0.0,4.14904761904762,90.39,100.0,0.0,2.5,0.0,0.0,-20.7445652173913,1439.5747779003,11047.4887552983,30946.783831192402,3.166667,3.5,86.2886499844504,104
Iraq,30.4333333333333,25.045,3.99,53.05,37.7,440.34,38.14,1.12,1.4,8.378,0.02,4.0409523809523815,41.07,58.83,1.32,29.0,4.74,0.74,-23.2663043478261,453.22176137365096,3376.42858997851,13379.7706168605,3.166667,3.5,525.2324028298872,104
Finland,17.8333333333333,19.325,3.8066666666666698,0.24,0.37,504.16,38.14,0.55,0.0,7.854,0.0,3.9328571428571433,99.21,99.63,0.0,2.5,0.0,0.0,-28.893079977311398,663.5668788904931,8351.14249385781,12765.2681032599,3.166667,3.5,144.008083651356,104
Portugal,20.0,24.445,4.0333333333333306,14.9,4.6,759.76,38.14,0.33,0.0,7.33,0.0,3.824761904761905,84.71,95.31,0.0,2.5,0.06,0.09,-30.972590627763,1230.33700840098,10423.837437729399,28911.310770351,3.166667,3.5,548.584059135462,104
Brazil,30.4333333333333,23.325,3.76333333333333,39.02,98.19,396.49,38.14,0.25,0.25,6.806,1.13,3.716666666666667,49.28,90.84666666666666,0.01,2.5,10.33,1.55,-11.891990081863,8748.76962644298,70054.8528303276,235836.021204792,3.166667,3.5,1726.67563987445,104
Egypt,26.6666666666667,24.905,3.91,33.45,99.11,811.65,38.14,4.35,0.24,6.282,0.0,3.6085714285714285,60.74,86.38333333333334,0.02,4.5,1.46,0.64,-17.2778985507246,1803.08726608787,9460.89333567486,46758.4160479783,3.166667,3.5,95.12957878642841,105
Romania,26.9333333333333,29.95,4.59,7.77,18.08,699.61,38.14,0.25,0.0,5.758,0.0,3.5004761904761903,76.54,81.92,0.0,2.5,15.44,0.0,-24.8214431308602,2157.40646869502,14103.1306275217,51158.9728960305,3.166667,3.5,418.318858775782,105
Estonia,25.5666666666667,27.56,3.99,1.79,6.38,537.85,38.14,0.7,0.0,5.234,0.0,3.3923809523809525,97.36,93.33,0.0,2.9,0.15,0.29,-28.2044270833333,118.668283041325,1078.94604241408,3484.31404863846,3.166667,3.5,172.913747396683,105
Kuwait,26.1666666666667,22.92,4.47666666666667,0.0,0.0,909.98,38.14,0.0,0.0,4.71,0.0,3.2842857142857143,100.0,100.0,0.0,2.8,0.0,0.0,-39.2201086956522,42.353296132729504,299.292744263391,1152.0731989998899,3.166667,3.5,1905.9383790282998,105
Saudi Arabia,43.7333333333333,22.78,4.34333333333333,22.25,100.0,539.48,38.14,0.0,0.0,4.186,0.0,3.176190476190476,77.75,99.58,0.0,7.1,0.0,0.0,-26.039208074534198,465.034135841366,3308.02252782485,11451.1824630867,3.166667,3.5,887.737901007457,105
Poland,25.8666666666667,28.765,4.4533333333333305,5.54,0.57,459.99,38.14,1.04,0.0,3.661999999999999,0.0,3.068095238095238,93.25,99.16,0.0,2.5,0.16,0.28,-18.218972916545802,3500.40174607976,28199.0098602054,109405.484112251,3.166667,3.5,166.682707825903,105
Ireland,16.9333333333333,19.655,3.98666666666667,8.83,0.07,691.72,38.14,6.92,0.0,3.138,0.0,2.96,82.41,97.32,0.0,2.5,1.84,2.61,-34.867676767676805,335.925176524,2627.19402715729,9409.810226842092,3.166667,3.5,570.170774244237,105
Philippines,20.3,22.545,4.45666666666667,24.89,46.91,464.04,38.14,14.88,1.86,2.6140000000000008,5.09,1.8599999999999999,51.64,46.65,0.0,13.3,3.5,4.57,-36.2359949832776,2329.89704536697,15302.690477158501,77830.2980454592,3.166667,3.5,179.569034135922,105
India,51.0,25.665,3.96666666666667,59.54,92.67,397.44,32.6225,12.5,0.76,2.09,25.73,0.76,41.68,40.980000000000004,0.75,14.5,2.22,5.81,-22.7165099882491,38923.9746730773,171544.120958654,895371.42772908,3.166667,3.5,234.034723588139,105
Pakistan,51.866666666666696,30.48,4.80666666666667,59.87,56.15,152.59,27.105,10.18,0.6,2.2993333333333332,10.43,1.12,31.720000000000002,35.31,2.08,20.3,19.52,5.86,-22.0072463768116,3550.0855545689396,21729.6535578221,166264.543378637,3.166667,3.5,132.807190668385,106
Lebanon,32.5,20.57,4.01666666666667,76.71,44.9,818.01,47.615,1.5,7.4,2.5086666666666666,0.0,1.48,21.76,47.7,0.0,11.0,0.02,0.0,-23.564013206162898,204.007081438319,1778.53655593643,7440.542762702109,3.1927086562499998,3.53125,200.67028890686402,106
Thailand,34.5333333333333,22.285,4.69666666666667,98.75,99.93,423.77,68.125,1.19,0.07,2.718,0.0,1.84,40.32666666666667,64.68,0.0,7.8,0.06,0.0,-17.3097826086957,3472.1770611976194,29408.4029852593,98624.6502020709,3.2187503125,3.5625,4.8734757338215,106
Indonesia,33.0,23.69,4.58,73.13,89.34,270.48,88.635,12.24,1.41,2.9273333333333333,9.68,2.2,58.89333333333333,81.66,1.5,8.3,4.95,7.74,-17.5973602484472,6877.74327753078,46108.0001258116,193499.96306249895,3.24479196875,3.59375,57.621517472457896,106
Chile,18.9,20.95,4.2,22.54,1.19,371.61,67.08,0.0,0.0,3.1366666666666667,0.0,2.5600000000000005,77.46,98.64,0.0,2.7,0.0,0.17,-26.6956664747965,1219.60146069958,7963.57123462234,29059.852333602597,3.270833625,3.625,2094.89859005439,106
Luxembourg,18.4333333333333,21.83,4.14333333333333,0.96,0.16,844.57,45.525,2.37,0.0,3.346,0.0,2.92,96.64,99.72,0.0,2.5,0.03,0.11,-36.8967391304348,59.5044207370337,420.080188551097,1275.14969142958,3.2968752812499997,3.65625,1249.12148734384,108
Peru,20.8,13.685,3.7,31.58,40.78,505.09,23.97,10.86,1.01,3.5553333333333335,6.53,2.6866666666666665,42.76,50.35,2.64,9.7,8.27,5.22,-35.938441322147,1260.0640236272195,9677.36118248515,27664.2555747529,3.3229169375,3.6875,1838.3138415545002,108
Russia,23.533333333333307,27.445,3.90333333333333,29.18,21.06,507.36,22.7709375,0.0,0.63,3.764666666666667,0.0,2.453333333333333,61.31,76.03,1.32,2.5,9.52,2.28,-26.2928388746803,9669.31324630697,83112.7276424088,295536.093909088,3.34895859375,3.71875,662.026485595405,108
Mexico,16.2,19.78,3.34666666666667,40.78,56.45,447.41,21.571875,6.62,0.0,3.974,0.89,2.2199999999999998,50.41,42.87,0.0,3.6,1.31,0.68,-25.923748353096197,4418.9959447388,32185.1179956712,93993.74437937401,3.37500025,3.75,440.325758404456,109
Ecuador,21.2,17.9,3.68333333333333,45.98,18.93,344.22,20.3728125,9.07,0.11,4.183333333333334,2.1,1.9866666666666666,42.01,75.07,3.08,7.9,0.85,2.81,-41.1093711888385,664.024185831487,4753.36859478624,15556.517799934,3.4010419062499997,3.78125,616.589962867746,109
Turkey,32.0,20.17,3.13333333333333,32.1,98.88,1009.35,19.17375,0.58,0.0,4.392666666666667,0.32,1.7533333333333332,65.2,74.45666666666666,0.13,2.5,1.8,1.0,-20.8182097579716,3196.25467680286,24442.5705318384,91631.6624565062,3.4270835625,3.8125,309.195277485283,109
UAE,29.533333333333307,20.225,4.44,2.31,98.05,510.4,17.974687499999998,0.76,1.91,4.602,0.06,1.52,96.28,73.84333333333333,0.0,2.6,0.59,0.05,-22.8254076086957,66.0202661608762,257.676534844199,4663.00087320629,3.45312521875,3.84375,682.469542395901,109
Colombia,23.0666666666667,19.185,4.59666666666667,72.64,24.07,514.48,16.775624999999998,5.08,0.19,4.811333333333334,3.07,1.2866666666666666,16.99,73.23,1.67,4.8,2.22,0.84,-28.4165141016431,1722.7291919609802,14247.2472499354,44862.290700828606,3.4791668749999998,3.875,1102.98168917911,109
Slovakia,26.8333333333333,28.555,4.68666666666667,15.42,0.0,324.69,15.5765625,2.02,0.21,5.020666666666667,0.0,1.0533333333333332,82.52,99.79,0.0,3.4,0.05,0.0,-24.0835543766578,368.62067136847503,2957.71438433132,13339.3585552375,3.50520853125,3.90625,63.222841101147004,109
South Africa,26.533333333333307,26.71,3.1666666666666696,75.75,92.68,222.05,14.3775,14.86,2.79,5.23,1.45,0.82,53.625,87.26,2.7,6.2,7.95,1.83,-26.7179347826087,1203.39857874289,11530.6349515004,48561.8823071832,3.5312501875,3.9375,1031.66115626789,109
Serbia,27.6,29.47,4.46333333333333,72.84,10.79,593.92,13.1784375,0.0,13.7,5.723333333333334,0.08,0.82,24.73,74.73,0.02,5.7,2.36,0.76,-34.4208633093525,852.482770274027,6373.911045665601,27363.8464488694,3.55729184375,3.96875,352.960874481753,110
Panama,24.5666666666667,19.8,3.94666666666667,83.32,96.38,324.65,11.979375,5.78,1.92,6.216666666666667,4.42,0.82,41.614999999999995,82.345,0.6,10.0,6.49,1.1,-51.9483695652174,169.15740800317604,1239.06563792651,3436.5372848375,3.5833335,4.0,2043.5811052971105,110
Croatia,27.766666666666694,32.37,4.61,38.04,9.63,517.06,10.780312499999999,2.48,0.0,6.710000000000001,2.9466666666666663,0.82,58.5,89.96,0.4,2.5,0.98,0.41,-22.936122802673893,468.632440324573,3366.536192277181,13964.333201188401,3.60937515625,4.03125,207.98440677751202,110
Argentina,21.766666666666694,22.615,3.77666666666667,22.18,6.535,398.31,9.58125,2.33,0.34,7.203333333333334,1.4733333333333332,0.82,72.16,92.57499999999999,0.2,4.6,3.3249999999999997,0.5499999999999999,-19.797612504052,2880.8333649648603,18564.3932373763,72959.412062954,3.6354168125,4.0625,794.6327214932269,111
Latvia,25.2,29.685,3.93333333333333,6.32,3.44,441.19,8.3821875,2.18,0.68,7.696666666666667,0.0,0.82,85.82,95.19,0.0,2.5,5.67,0.69,-28.666187825462398,196.04667896510202,1705.07325268517,5675.2057880901,3.66145846875,4.09375,71.2745125635934,111
Bulgaria,26.9333333333333,28.3,4.55,21.59,2.16,377.53,7.183125,14.0,0.0,8.190000000000001,0.0,0.82,64.41,96.95,0.0,3.6,0.0,0.89,-19.054492663452105,825.4729657020099,5839.18939331462,18790.8430352744,3.6875001249999997,4.125,224.620375859095,111
Uruguay,24.0,20.755,4.17,96.6,99.4,358.9,5.9840625,2.34,0.6,8.683333333333334,0.4,0.82,74.83333333333333,95.375,0.0,2.5,0.67,0.0,-7.6875,335.177110276619,2327.48789834667,9461.14793756037,3.71354178125,4.15625,44.194075289325895,111
